median ul throughput:70.66666666666666, 28.57142857142857, 14.37037037037037, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:70.66666666666666, 28.57142857142857, 14.37037037037037, dl sbs throughput:0, 0, 0
median ul throughput:24.060150375939838, 16.0, 12.5, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:24.060150375939838, 16.0, 12.5, dl sbs throughput:0, 0, 0
median ul throughput:21.05263157894737, 21.05263157894737, 21.05263157894737, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:21.05263157894737, 21.05263157894737, 21.05263157894737, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:0, 0, 0, dl throughput:0, 0, 0, median ul mbs throughput:0, 0, 0, dl mbsthroughput:0, 0, 0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
